faiss_row,logical_product_id,chunk_source,token_count,chunk_text
470,P0230,description,152,"Name: Chubby Stick Cheek Colour Balm Blush
Brand: Clinique
Category: Blush
Description: Clinique Chubby Stick Cheek Colour Balm glides on creamy, mistake-proof cheek color. Creates a healthy-looking glow in an instant. Details Benefits Formulated Without Buildable, long-wearing, portable cheek color. Swivels up. No sharpening required. Dermatologist tested. Allergy tested. Parabens Phthalates Oil-free Fragrance How To Use Dot onto apples of cheeks. Fingertip-blend along cheekbones, toward hairline. Layer to build colour."
471,P0230,platform_summary,131,"Name: Chubby Stick Cheek Colour Balm Blush
Brand: Clinique
Category: Blush
Pros: flattering/good shade match, blends easily, natural-looking finish, easy to apply/use, glowy/radiant finish, strong pigmentation/color payoff, good value/affordable, lightweight feel, matte finish/oil control, smooth/creamy texture
Cons: shade/color mismatch or inaccurate photos
Best uses: cheeks/blush, lips/lip color, dry skin, natural/light makeup looks, oily skin"
472,P0231,description,210,"Name: Chubby Stick Sculpting Contour
Brand: Clinique
Category: Contouring
Description: Clinique Chubby Stick Sculpting Contour is a creamy contouring stick. Creates the illusion of depth and makes areas appear to recede. Details Benefits Formulated Without Shimmer-less formula swipes on, adds depth and definition where you want it. Blends easily. Long-wearing. Works best for light to medium skin tones. Use it with Chubby Stick Sculpting Highlight to visually sculpt your face. Dermatologist and ophthalmologist tested. Allergy tested. Parabens Phthalates Fragrance How To Use Glide on over bare skin or foundation to add contour to hollow of cheeks, along jawline and other areas.Glide on over bare skin or foundation to add contour to hollow of cheeks, along jawline and other areas."
473,P0231,platform_summary,158,"Name: Chubby Stick Sculpting Contour
Brand: Clinique
Category: Contouring
Pros: blends easily, easy to apply/use, flattering/good shade match, long-lasting wear, smooth/creamy texture, glowy/radiant finish, natural-looking finish, removes makeup effectively, strong pigmentation/color payoff
Cons: difficult to blend, patchy/streaky finish, shade/color mismatch or inaccurate photos
Best uses: bronzing/contouring, everyday wear, cheeks/blush, highlighting, humid/hot weather, medium/olive skin tones, natural/light makeup looks, travel/on-the-go touch-ups"
474,P0232,description,155,"Name: Chubby Stick Sculpting Highlight
Brand: Clinique
Category: Highlighter
Description: Clinique Chubby Stick Sculpting Highlight with light-reflecting optics brings your best features forward. Details Benefits Formulated Without Swipes on to add a luminous sheen where you want it. Blends easily. Long-wearing. Use it with Chubby Stick Sculpting Contour to visually sculpt your face. Dermatologist and ophthalmologist tested. Allergy tested. Parabens Phthalates Fragrance How To Use Glide on over bare skin or foundation to accentuate top of cheekbones, bridge of nose and other areas."
475,P0232,platform_summary,142,"Name: Chubby Stick Sculpting Highlight
Brand: Clinique
Category: Highlighter
Pros: glowy/radiant finish, smooth/creamy texture, easy to apply/use, natural-looking finish, flattering/good shade match, lightweight feel, long-lasting wear, blends easily, gentle/non-irritating
Cons: too shiny/glittery, heavy/thick feel, shade/color mismatch or inaccurate photos
Best uses: highlighting, everyday wear, cheeks/blush, alone instead of foundation, eyeshadow/eye looks, medium/olive skin tones"
476,P0233,description,235,"Name: Circle\Delete Concealer
Brand: jane iredale
Category: Concealer
Description: Conscious Beauty at Ulta BeautyTM Clean Ingredients Cruelty Free Sustainable Packaging Brand jane iredale's Circle\Delete Concealer is an eye conditioner and concealer containing moringa butter and avocado oil, both high in vitamins A, C, D and E. Contains green tea extract, a potent antioxidant. Details Benefits Key Ingredients Conceals and diminishes the appearance of dark under-eye circles. Softens the appearance of fine lines around eyes. The two colors can be blended in order to achieve the exact shade required. Moringa Seed Oil moisturizes and conditions skin and provides antioxidant protection. Laminaria Ochroleuca Extract repairs UV damage, moisturzes and has antioxidant properties. Green Tea Leaf Extract calms, protects and has antioxidant properties. How To Use Use Camouflage Brush and apply to dark under-eye areas before or after foundation to conceal and highlight."
477,P0233,platform_summary,111,"Name: Circle\Delete Concealer
Brand: jane iredale
Category: Concealer
Pros: smooth/creamy texture, good/buildable coverage, long-lasting wear, natural-looking finish
Cons: creases/settles into lines, heavy/thick feel
Best uses: under-eye dark circles/brightening, covering blemishes/dark spots, dry skin, eyeshadow/eye looks, highlighting, travel/on-the-go touch-ups"
478,P0234,description,249,"Name: City Block Sheer Oil-Free Daily Face Protector Broad Spectrum SPF 25 Primer
Brand: Clinique
Category: Face Primer
Description: Clinique City Block Sheer Oil-Free Daily Face Protector SPF 25 is a lightweight UVA/UVB face sunscreen with no chemical sunscreens. Details Benefits Formulated Without Lightweight formula helps wick away perspiration and absorb excess oil. Perfect alone or as an invisible makeup primer. No chemical sunscreens. Appropriate for eye area and sensitive skins. Dermatologist and ophthalmologist tested. Non-acnegenic. Allergy tested. Parabens Phthalates Oil Denatured alcohol Synthetic colors SLS SLES Sulfates Fragrance How To Use Use once a day, in the morning. Apply after your 3-Step Skin Care routineand any additional treatment products. Smooth evenly over face with fingertips. Blend well. Follow with foundation, if desired. Remove with your favourite Clinique makeup remover. Tips: This all-physical sunscreen formula is also suitable for use around the eyes."
479,P0234,platform_summary,178,"Name: City Block Sheer Oil-Free Daily Face Protector Broad Spectrum SPF 25 Primer
Brand: Clinique
Category: Face Primer
Pros: good/buildable coverage, gentle/non-irritating, glowy/radiant finish, natural-looking finish, blends easily, easy to apply/use, flattering/good shade match, lightweight feel, long-lasting wear, matte finish/oil control
Cons: causes irritation/burning, can cause breakouts, heavy/thick feel, difficult to blend, shade/color mismatch or inaccurate photos
Best uses: everyday wear, acne-prone skin, alone instead of foundation, fair/light skin tones, natural/light makeup looks, under foundation/makeup, cheeks/blush"
480,P0235,description,157,"Name: City Bronzer Powder
Brand: Maybelline
Category: Bronzer
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Give Back Maybelline's City Bronzer Powder is a bronzing and contouring powder that delivers a sun-kissed, sculpted makeup look. Details Benefits Formulated Without Bronzer & contour powder, ideal for creating multiple makeup looks Formulated with whipped cocoa butter Get all over bronzing, subtle contouring, or a natural makeup look Oil How To Use Step 1. Using a brush, apply bronzer all over or sweep under the cheekbones to contour. Step 2. Blend for a naturally sun-kissed look."
481,P0235,platform_summary,139,"Name: City Bronzer Powder
Brand: Maybelline
Category: Bronzer
Pros: natural-looking finish, blends easily, smooth/creamy texture, flattering/good shade match, matte finish/oil control, pleasant/subtle scent, strong pigmentation/color payoff
Cons: too shiny/glittery, shade/color mismatch or inaccurate photos, difficult to blend, patchy/streaky finish, too expensive/poor value
Best uses: bronzing/contouring, cheeks/blush, fair/light skin tones, highlighting, humid/hot weather"
482,P0236,description,357,"Name: Clay Play Face Shaping Palette Vol. 2
Brand: Tarte
Category: Contouring
Description: Conscious Beauty at Ulta BeautyTM Clean Ingredients Cruelty Free Give Back Slay with clay! This 12-shade Amazonian Clay infused superstar Palette will quickly become your new fave travel companion. Details Benefits Key Ingredients Shades Sculpts, defines, & highlights your features Nine neutral-to-smoky shadows (6 matte, 3 lusters) create unlimited wearable looks Three face powders (including blush, bronzer, & highlighter) add definition & make skin glow Creamy, microfine powder is infused with Amazonian clay, so it offers rich payoff that blends to a natural, longwearing finish without creasing, caking, or flaking Amazonian clay: nature's most perfect ingredient for better, longer, truer wear Vanilla extract: natural fragrance with rich antioxidant & anti-aging properties Mineral pigments: soothe and soften skin Journey (mauve) Stone (mauve shimmer) Solstice (cream) Dunes (cool brown) Smoke (light golden shimmer) Sand (beige) Ember (warm brown) Onyx (copper shimmer) Instinct (light pink beige) Terracotta (matte bronze contour) Desert (rose blush) Timber (champagne highlighter) How To Use Use the nine shadows & three face powders in this can't-live-without-it beauty wardrobe to create unlimited, ultrawearable looks."
483,P0236,platform_summary,109,"Name: Clay Play Face Shaping Palette Vol. 2
Brand: Tarte
Category: Contouring
Pros: natural-looking finish, glowy/radiant finish, smooth/creamy texture, strong pigmentation/color payoff
Cons: causes irritation/burning
Best uses: bronzing/contouring, cheeks/blush, everyday wear, travel/on-the-go touch-ups, eyeshadow/eye looks, fair/light skin tones, highlighting"
484,P0237,description,304,"Name: Clay Play To-Go Cheek Palette
Brand: Tarte
Category: Blush
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back Glow on the go with limited-edition tarte Clay Play To-Go Cheek Palette, inlcuding a bronzer, blush & highlighter! Details Benefits Key Ingredients Shades Bronzer, blush & highlighter for a sun-kissed glow on the go Butter-soft formula glides on for weightless wear Amazonian clay absorbs excess oil Vegan Dermatologist tested Amazonian clay: nature's most perfect ingredient for better, longer, truer wear Mineral pigments: soothe & soften skin Formulated without parabens, mineral oil, phthalates, triclosan, sodium lauryl sulfate & gluten Morning Light (golden highlighter) Elements (golden peachy pink blush) Down to earth (matte bronzer) How To Use Gently buff bronzer onto cheekbones, chin, nose & forehead. Smile to find the apples of your cheeks & sweep blush on in an upward motion. Apply highlighter to high points of the face, including cheekbones, nose, inner corners of eyes & Cupid's bow."
485,P0237,platform_summary,151,"Name: Clay Play To-Go Cheek Palette
Brand: Tarte
Category: Blush
Pros: glowy/radiant finish, strong pigmentation/color payoff, flattering/good shade match, long-lasting wear, smooth/creamy texture, convenient packaging/applicator, easy to apply/use
Cons: shade/color mismatch or inaccurate photos, too shiny/glittery
Best uses: cheeks/blush, bronzing/contouring, highlighting, fair/light skin tones, eyeshadow/eye looks, long-wear events, medium/olive skin tones, travel/on-the-go touch-ups"
486,P0238,description,141,"Name: Clean Artiste Waterproof and Long Wearing Eye Makeup Remover
Brand: L'Oréal
Category: Makeup Remover
Description: Conscious Beauty at Ulta BeautyTM Give Back Clean Artiste Waterproof and Long Wearing Eye Makeup Remover by L'Oréal instantly dissolves every trace of eye makeup. Details Benefits Won't leave a filmy or oily residue on the skin Dermatologist and ophthalmologist-tested Non-irritating Non-comedogenic How To Use Dip cotton ball into remover, close eye and sweep a cotton ball gently across lid."
487,P0238,platform_summary,148,"Name: Clean Artiste Waterproof and Long Wearing Eye Makeup Remover
Brand: L'Oréal
Category: Makeup Remover
Pros: resists smudging/transfer, removes makeup effectively, gentle/non-irritating, removes waterproof makeup, good value/affordable, good/buildable coverage, hydrating/non-drying, smooth/creamy texture
Cons: causes irritation/burning, oily residue, heavy/thick feel, strong/unpleasant scent, does not remove makeup effectively
Best uses: removing eye makeup, removing waterproof makeup, sensitive eyes, eyeshadow/eye looks"
488,P0239,description,367,"Name: Clean Fresh All Over Dewy Tint
Brand: CoverGirl
Category: Blush
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free The easiest 3-in-1 eyes, lip and cheek tint for a dewy and natural flush from within glow. The easiest no-makeup makeup look with CoverGirl Clean Fresh All Over Dewy Tint. With one product, get the ultimate pillowy burst of color for skin that looks recharged, fresh and dewy. Details Features Key Ingredients Multi-purpose product: The easiest, breeziest no-makeup makeup look from 3-in-1 CoverGirl Clean Fresh All Over Dewy Tint, for a natural glow A True Burst of Color and Moisture: Lightweight and versatile dewy tint from CoverGirl for a brightening effect, with silky and even application that's never streaky or chalky 3-in-1 For Eyes, Lips And Cheeks: CoverGirl Clean Fresh All Over Dewy Tint gives a flush of lip color, hydrating liquid blush and natural glow eye shade lightweight, buildable cream: blends perfectly for an effortless flush of lip color, liquid blush and glow eye shade with a soft-focus, diffused finish. Available in 6 colorful shades 100% Cruelty-Free and Vegan Formula: The easiest clean 3-in-1 vegan makeup for eyes, lips and cheeks, for a dewy and natural flush from within glow TRUCLEAN Active Formula: Nourishing cream infused with Vitamin C + Coconut Milk and Aloe Extract How To Use"
489,P0239,platform_summary,176,"Name: Clean Fresh All Over Dewy Tint
Brand: CoverGirl
Category: Blush
Pros: glowy/radiant finish, flattering/good shade match, strong pigmentation/color payoff, blends easily, natural-looking finish, good value/affordable, does not emphasize lines/wrinkles, easy to apply/use, good/buildable coverage, lightweight feel
Cons: difficult to blend, creases/settles into lines, difficult/messy application, poor pigmentation/color payoff, shade/color mismatch or inaccurate photos, smudges/transfers/flakes
Best uses: cheeks/blush, lips/lip color, fair/light skin tones, everyday wear, eyeshadow/eye looks, oily skin"
490,P0240,description,239,"Name: Clean Fresh Hydrating Concealer
Brand: CoverGirl
Category: Concealer
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free COVERGIRL Clean Fresh Hydrating Concealer will cover up acne, dark circles and disguise any flaws in a breeze. Its lightweight formula is made without any toxic ingredients like phthalates, mineral oil, formaldehyde talk or parabens. Details Benefits Key Ingredients Formulated Without Lightweight Formula: Hydrating concealer designed for all-day wear Luminous Finish: Dewy finish that's designed to leave skin looking natural and glowing Vegan: Liquid concealer is infused with coconut milk and aloe extracts for glowing skin Cruelty Free - Products are not tested on animals Hydrating Ingredients: Infused with coconut milk and aloe extracts Formaldehyde, phthalates, parabens, sulfates, or talc How To Use Use alone or under foundation or powder to help cover imperfections and dark circles."
491,P0240,platform_summary,212,"Name: Clean Fresh Hydrating Concealer
Brand: CoverGirl
Category: Concealer
Pros: hydrating/non-drying, good/buildable coverage, lightweight feel, natural-looking finish, blends easily, flattering/good shade match, glowy/radiant finish, smooth/creamy texture, convenient packaging/applicator, easy to apply/use
Cons: patchy/streaky finish, cakey finish, can cause breakouts, creases/settles into lines, difficult to blend, drying/emphasizes dry patches, heavy/thick feel, poor/insufficient coverage, smudges/transfers/flakes
Best uses: covering blemishes/dark spots, under-eye dark circles/brightening, everyday wear, highlighting, humid/hot weather, long-wear events, mature skin, natural/light makeup looks, setting makeup, travel/on-the-go touch-ups"
492,P0241,description,242,"Name: Clean Fresh Pressed Powder
Brand: CoverGirl
Category: Setting Spray & Powder
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Reduce shine and set makeup with COVERGIRL Clean Fresh Pressed Powder. This talc-free face powder is formulated with tapioca and aloe vera powder to absorb oil and keep shine at bay. This setting powder make pores less visible, so skin looks and feels smooth. Details Benefits Key Ingredients Formulated Without 100% vegan Makes pores less visible, so skin looks and feels smooth Includes vegan foam puff for easy application Cruelty Free Absorbing Formula - Formulated with tapioca and aloe vera powder to absorb oil and deliver fresh, natural-looking skin Formaldehyde, phthalates, parabens, sulfates, or talc How To Use Using the included vegan puff, apply to the forehead, nose, cheeks, and chin and blend all over using gentle downward strokes. Can be worn alone or on top of foundation."
493,P0241,platform_summary,183,"Name: Clean Fresh Pressed Powder
Brand: CoverGirl
Category: Setting Spray & Powder
Pros: good/buildable coverage, smooth/creamy texture, good value/affordable, natural-looking finish, lightweight feel, long-lasting wear, does not emphasize lines/wrinkles, glowy/radiant finish, convenient packaging/applicator, easy to apply/use
Cons: cakey finish, drying/emphasizes dry patches, creases/settles into lines, heavy/thick feel, causes irritation/burning, difficult to blend, patchy/streaky finish
Best uses: setting makeup, humid/hot weather, alone instead of foundation, cheeks/blush, dry skin, everyday wear, oily skin, travel/on-the-go touch-ups"
494,P0242,description,252,"Name: Clean Fresh Radiant Loose Powder Bronzer
Brand: CoverGirl
Category: Bronzer
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free COVERGIRL's Clean Fresh is adding a bronzer for an easy, breezy ""just back from vacation"" glow - Clean Fresh Radiant Loose Powder Bronzer! Made without talc and fragrance, this lightweight, breathable loose powder bronzer is infused with micro-fine shimmers to illuminate and warm your complexion. Details Features Benefits Ultra lightweight, breathable formula Suitable for all skin types, even dry & sensitive Talc & fragrance-free Leaping Bunny Approved by Cruelty-Free International (CFI) How To Use Tap a small amount of bronzer into the lid. Dip brush into powder. Tap off the excess. Lightly buff onto skin in circular motions where the sun naturally hits your face, including your forehead, the tops of your cheeks, and the bridge of your nose. Wear alone or on top of makeup."
495,P0242,platform_summary,132,"Name: Clean Fresh Radiant Loose Powder Bronzer
Brand: CoverGirl
Category: Bronzer
Pros: glowy/radiant finish, blends easily, flattering/good shade match, long-lasting wear, natural-looking finish, lightweight feel, easy to apply/use, good/buildable coverage, smooth/creamy texture, strong pigmentation/color payoff
Cons: shade/color mismatch or inaccurate photos, heavy/thick feel, patchy/streaky finish
Best uses: bronzing/contouring, everyday wear, natural/light makeup looks"
496,P0243,description,293,"Name: Clean Fresh Skin Milk Foundation
Brand: CoverGirl
Category: Foundation
Description: Conscious Beauty at Ulta BeautyTM Vegan Cruelty Free The COVERGIRL Clean Fresh Skin Milk Foundation is just what your skin needs. This light, nourishing foundation sits beautifully on all skin tones without looking cakey. It's the perfect option for a natural glow! This hydrating foundation is perfect for all skin types, including sensitive skin. Details Benefits Key Ingredients Formulated Without All Day Healthy Glow - Lightweight foundation coverage for all skin types Lightweight - This nourishing liquid foundation gives your skin the moisture boost it craves Cruelty-Free - Products are not tested on animals Nourishes Skin With Good-For-You Ingredients - Infused with hydrating coconut milk and aloe extract for a youthful, dewy glow Safe Ingredients - This foundation is formulated without formaldehyde, sulfates and talc How To Use Gently squeeze Clean Fresh Skin Milk onto your fingertips. Smooth onto a fresh, clean face, blending upwards and outwards using light, feathery strokes for allover coverage. Build coverage as needed. PRO TIP: Use the TruBlend Face Primer before applying to create an even more flawless finish."
497,P0243,platform_summary,205,"Name: Clean Fresh Skin Milk Foundation
Brand: CoverGirl
Category: Foundation
Pros: lightweight feel, glowy/radiant finish, good/buildable coverage, natural-looking finish, hydrating/non-drying, blends easily, good value/affordable, long-lasting wear, flattering/good shade match
Cons: patchy/streaky finish, poor/insufficient coverage, drying/emphasizes dry patches, heavy/thick feel, causes irritation/burning, shade/color mismatch or inaccurate photos, cakey finish, can cause breakouts, difficult to blend, oxidizes/changes color
Best uses: natural/light makeup looks, everyday wear, setting makeup, covering blemishes/dark spots, dry skin, fair/light skin tones, mature skin, oily skin, rosacea/redness-prone skin, sensitive skin"
498,P0244,description,495,"Name: Clean Invisible Loose Powder
Brand: CoverGirl
Category: Setting Spray & Powder
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Keep shine at bay all day with COVERGIRL Clean Invisible Loose Powder. Your complexion will never look better thanks to its silky fine loose powder that delivers a beautifully natural finish and its non-comedogenic formula that won't block your pores. Details Features Benefits Includes soft, luxurious vegan applicator for easy application and blending Great setting powder for oily skin as it absorbs excess oil and keeps skin looking fresh & shine-free Suitable for all skin types, including dry & sensitive Non-comedogenic / does not clog pores Dermatologically tested Powder container made from 25% post-consumer recycled materials Leaping Bunny approved by Cruelty-Free International (CFI) Talc- & fragrance-free CoverGirl clean fresh powder Lightweight, vegan formula free from parabens, sulfates, phthalates & mineral oil Loose powder with 100% natural-origin pigments & only 15 essential ingredients How To Use For a natural finish, you can apply this Covergirl powder directly onto the face. First, dip the puff - or a powder brush if you prefer - into the powder, tapping off any excess to avoid the coverage from being too heavy. Lightly buff the powder into the skin using the puff. For an airbrushed effect and fuller coverage, first apply your Covergirl foundation of choice and finish off your look by using the loose powder to set your makeup. Follow the same steps as mentioned above to apply the powder, buffing more into the skin if desired. Avoid breathing dust/fume/gas/mist/vapors/spray. Use only outdoors or in a well-ventilated area. IF INHALED: Remove person to fresh air and keep comfortable for breathing. Call a poison center/doctor if you feel unwell. Store in a well-ventilated place. Keep container tightly closed. Store locked up. Dispose of contents/container in accordance with local/regional/national/international regulations."
499,P0244,platform_summary,109,"Name: Clean Invisible Loose Powder
Brand: CoverGirl
Category: Setting Spray & Powder
Pros: smooth/creamy texture, little/no scent
Cons: difficult/messy application, cakey finish, creases/settles into lines, heavy/thick feel, poor longevity, poor/insufficient coverage, shade/color mismatch or inaccurate photos, smudges/transfers/flakes
Best uses: alone instead of foundation, sensitive skin"
500,P0245,description,262,"Name: Clean Matte BB Cream
Brand: CoverGirl
Category: BB & CC Creams
Description: Conscious Beauty at Ulta BeautyTM Cruelty Free Say goodbye to makeup that has you looking shiny, greasy, or caked on with COVERGIRL Clean Matte BB Cream. This foundation is made for oily skin! It provides the perfect amount of coverage while still allowing your skin to breathe throughout the day and will keep you shine-free all day long. Details Benefits Hides Blemishes - Hides blemishes and evens skin tone for a flawless finish Natural-Looking Skin - Water-based bb cream is easy to apply and blend for a clean, natural look Won't Clog Pores - Designed specifically for oily skin, this non-comedogenic formula prevents breakouts EASY Application - Goes on smoothly and blends easily Oil-Free Matte Formula - Lightweight and water based matte bb cream How To Use Dot BB Cream on forehead, cheeks and chin. Blend using fingertips or a makeup sponge. Use with COVERGIRL Clean Matte Pressed Powder to finish your look."
501,P0245,platform_summary,180,"Name: Clean Matte BB Cream
Brand: CoverGirl
Category: BB & CC Creams
Pros: good/buildable coverage, long-lasting wear, matte finish/oil control, lightweight feel, natural-looking finish, good value/affordable, hydrating/non-drying, smooth/creamy texture
Cons: cakey finish, shade/color mismatch or inaccurate photos, can cause breakouts, difficult to blend, drying/emphasizes dry patches, heavy/thick feel, poor longevity
Best uses: oily skin, acne-prone skin, covering blemishes/dark spots, everyday wear, alone instead of foundation, cheeks/blush, combination skin, fair/light skin tones, humid/hot weather, mature skin"
502,P0246,description,227,"Name: Clean Matte Concealer
Brand: CoverGirl
Category: Concealer
Description: Conscious Beauty at Ulta BeautyTM Cruelty Free COVERGIRL Clean Matte Concealer is formulated with patented light-diffusing pigments to ensure your concealer will look fresh and natural all day! Apply in three simple steps: clean, buff in the color using fingers or brush, cover imperfections with the high-pigment formula. Details Benefits Oil-Free Concealer - Helps cover up imperfections & dark circles in an instant Lightweight - Blends easily All-Day Wear - Contains skin-brightening pigments that help diffuse light, for all-day natural looking coverage Versatile - Use as a blemish concealer or under-eye concealer Safe For Skin - This concealer was dermatologically tested How To Use Dab a small amount of concealer over dark under eye circles and blemishes. Gently pat concealer using fingertips or beauty sponge to blend."
503,P0246,platform_summary,163,"Name: Clean Matte Concealer
Brand: CoverGirl
Category: Concealer
Pros: good/buildable coverage, easy to apply/use, matte finish/oil control, natural-looking finish, convenient packaging/applicator, glowy/radiant finish, blends easily, flattering/good shade match, little/no scent, pleasant/subtle scent
Cons: poor/insufficient coverage, creases/settles into lines, drying/emphasizes dry patches
Best uses: covering blemishes/dark spots, under-eye dark circles/brightening, everyday wear, highlighting, natural/light makeup looks, oily skin, travel/on-the-go touch-ups"
504,P0247,description,241,"Name: Clean Pressed Powder
Brand: CoverGirl
Category: Setting Spray & Powder
Description: Conscious Beauty at Ulta BeautyTM Cruelty Free COVERGIRL Clean Pressed Powder has a lightweight formula that reduces the appearance of pores and gives skin a soft, smooth finish while hiding imperfections. This powder controls shine and is non-comedogenic, so it won't clog pores, allowing your skin to look fresh, natural, healthy and clean. Details Benefits Won't Clog Pores - This lightweight pressed powder is great for all skin types Hypoallergenic - Designed to be gentle on your skin, this setting powder will have you looking flawless without any breakouts Dermatologist Tested - Tested by dermatologists to ensure it's safe for sensitive skin Shine-Free Formula - It's the ideal face powder for keeping your complexion looking fresh and clean throughout the day Natural Looking - This setting powder will have you looking flawless without any breakouts How To Use Use puff to sweep powder over entire face."
505,P0247,platform_summary,145,"Name: Clean Pressed Powder
Brand: CoverGirl
Category: Setting Spray & Powder
Pros: smooth/creamy texture, long-lasting wear, matte finish/oil control, easy to apply/use, flattering/good shade match, natural-looking finish, convenient packaging/applicator, good value/affordable, good/buildable coverage, lightweight feel
Cons: cakey finish, can cause breakouts, strong/unpleasant scent
Best uses: travel/on-the-go touch-ups, oily skin, covering redness, everyday wear, mature skin, natural/light makeup looks, sensitive skin"
506,P0248,description,117,"Name: Close-Up Baking & Setting Powder
Brand: NABLA
Category: Setting Spray & Powder
Description: NABLA Close-Up Baking & Setting Powder is a translucent loose powder a soft matte finish. Details Features Benefits The subtle texture has a high smoothing power and sets the makeup giving the skin a silky-smooth effect. Suitable for all skin types Great for touch-ups as it refreshes the makeup without looking heavy. Dermatologically tested."
507,P0248,platform_summary,103,"Name: Close-Up Baking & Setting Powder
Brand: NABLA
Category: Setting Spray & Powder
Pros: good value/affordable, smooth/creamy texture, lightweight feel, natural-looking finish, long-lasting wear, matte finish/oil control
Cons: cakey finish, causes irritation/burning, smudges/transfers/flakes
Best uses: setting makeup, oily skin, professional/MUA kit"
508,P0249,description,383,"Name: Cloud Crush Blurring Blush
Brand: Too Faced
Category: Blush
Description: Conscious Beauty at Ulta BeautyTM Cruelty Free Give your cheeks a cloud-like kiss of color with this airy, diffused Too Faced Cloud Crush Blurring Blush. Infused with a flower extract blend, this ultra-smooth, cushiony powder offers a seamless wash of buildable color for a natural blurring effect with a second-skin feel that wears like a dream. Details Benefits 7 unique shades in multiple finishes 93% naturally-derived ingredients Ultra-smooth, velvety formula Buildable, blendable, cloud-like kiss of color Safe for use on sensitive skin Smells Like a Tropical Beach! How To Use Using a blush brush, mark an ''X'' shape on the apple of the cheek. Then, blend out in an ''O'' motion. Repeat until the color payoff is achieved. Pro Tip: How To Apply Blush For Your Face Shape Place and blend blush in the Signature Move Technique of X and O. Round: For a round face shape place blush in an angle along the highlight points of the cheeks blending into the cheek. Oval: For an oval face shape, place blush in a vertical angle from the top of the cheek down to the apple of the cheeks. Square: For a square face shape place blush starting at the apple of the cheek and blend across to the ear. The angle should be in a straight horizontal line. Heart: For a heart face shape place blush at the apple of the cheeks and sweep upwards to the top of the ear in a vertical line"
509,P0249,platform_summary,161,"Name: Cloud Crush Blurring Blush
Brand: Too Faced
Category: Blush
Pros: strong pigmentation/color payoff, blends easily, smooth/creamy texture, flattering/good shade match, long-lasting wear, natural-looking finish, lightweight feel, convenient packaging/applicator, easy to apply/use, gentle/non-irritating
Cons: strong/unpleasant scent, causes irritation/burning, shade/color mismatch or inaccurate photos
Best uses: cheeks/blush, everyday wear, alone instead of foundation, covering blemishes/dark spots, humid/hot weather, travel/on-the-go touch-ups"
510,P0250,description,320,"Name: Color Correcting Liquid Concealer
Brand: ULTA Beauty Collection
Category: Color Correcting
Description: Conscious Beauty at Ulta BeautyTM Clean Ingredients Cruelty Free Give Back Shades inspired by color theory. Ulta Beauty Collection's Color Correcting Liquid Concealer neutralize your base with just the right tones to correct sallowness, redness, and dark under eyes. Apply before foundation. Details Benefits Features Key Ingredients Waterproof Matte finish Full coverage Available in five shades to correct multiple undertones Pink helps brighten and conceal discoloration and dark spots for fair to light skintones Peach helps brighten and conceal discoloration and dark spots for medium skintones Orange helps brighten and conceal discoloration and dark spots for medium to deep skintones Red helps to brighten and conceal discoloration and dark spots for deep to dark skintones Green helps to neutralize redness and blemishes Packaging vial made from 50% Post-Consumer Recycled (PCR) plastic Proudly cruelty free with clean ingredients Green tea acts as a powerful antioxidant Chamomile helps to condition Aloe vera helps smooth the skin Tea tree oil helps condition the skin How To Use Apply before foundation and concealer to target areas of the face you want to color correct. Blend in with fingertips or Ulta Beauty Collection's Precision Concealer Brush #118."
511,P0250,platform_summary,135,"Name: Color Correcting Liquid Concealer
Brand: ULTA Beauty Collection
Category: Color Correcting
Pros: flattering/good shade match, good value/affordable, hydrating/non-drying, long-lasting wear, blends easily, good/buildable coverage, lightweight feel, natural-looking finish
Cons: cakey finish, heavy/thick feel, drying/emphasizes dry patches, poor longevity
Best uses: under-eye dark circles/brightening, alone instead of foundation, medium/olive skin tones, fair/light skin tones"
512,P0251,description,179,"Name: Color Corrector Quad Spectrum Palette
Brand: J.Cat Beauty
Category: Color Correcting
Description: J.Cat Beauty's easy to use Color Corrector Quad Spectrum Palette features 4 creamy shades to fit to one's skin tone and concern. This palette is the perfect blend of colors to take imperfections away. Details Features Formulated Without A yellow color to correct mild redness An orange color to cancel dark circles, brown spots on medium to deep skin A green color to neutralize redness A purple color to neutralize dull yellow undertones on light to medium skin Phthalates, SLS, triclosan, propylene glycol and animal ingredients How To Use After prepping your skin, use to even out the skin tone and correct skin concerns. Blend the colors."
